file,genre,top_peaks_hz,top_peaks_db
jazz_01,jazz,51.1;99.6;349.9;4417.0;150.7;67.3;702.5;296.1;183.0;199.2,41.1;35.9;35.3;32.5;31.2;31.1;30.4;29.6;28.0;26.4
jazz_02,jazz,51.1;277.2;99.6;207.3;185.7;4403.5;231.5;150.7;414.5;831.7,40.1;35.5;35.1;32.1;31.3;31.2;30.3;30.0;28.7;27.1
jazz_03,jazz,51.1;99.6;4417.0;554.5;150.7;80.7;175.0;349.9;1114.3;199.2,41.4;36.4;33.5;31.7;31.5;27.9;27.0;26.9;26.3;25.8
jazz_04,jazz,51.1;99.6;4403.5;150.7;83.4;312.2;199.2;374.1;398.4;745.6,43.7;38.5;34.6;33.8;33.3;28.6;27.6;27.0;26.5;26.5
jazz_05,jazz,51.1;99.6;4417.0;247.6;150.7;312.2;366.1;204.6;624.5;113.0,40.5;35.4;31.9;31.1;30.6;27.4;27.2;26.6;25.9;22.5
jazz_06,jazz,51.1;99.6;4403.5;150.7;131.9;293.4;234.2;390.3;199.2;261.1,40.6;35.5;32.2;30.7;27.5;26.4;26.2;25.2;25.0;24.0
jazz_07,jazz,51.1;99.6;4417.0;150.7;328.4;207.3;277.2;199.2;110.4;659.5,43.3;38.8;34.6;33.6;33.3;32.9;31.5;28.9;27.9;27.7
jazz_08,jazz,51.1;99.6;4403.5;150.7;199.2;115.7;309.5;172.3;261.1;242.2,39.9;34.7;30.7;30.3;24.0;17.3;16.6;16.5;15.2;14.5
metal_01,metal,51.1;99.6;148.0;4400.8;131.9;199.2;393.0;172.3;441.4;293.4,44.5;40.4;35.7;35.4;32.1;30.3;29.9;28.5;26.5;26.1
metal_02,metal,51.1;156.1;99.6;118.4;4417.0;312.2;495.3;185.7;234.2;2465.6,40.3;36.5;33.8;33.6;31.1;30.2;27.1;26.2;26.0;21.3
metal_03,metal,51.1;99.6;4417.0;150.7;185.7;209.9;837.1;279.9;368.8;417.2,39.4;35.1;30.8;29.8;27.6;23.3;23.0;22.4;22.3;22.1
metal_04,metal,51.1;99.6;4403.5;150.7;199.2;110.4;131.9;166.9;1378.1;1399.7,44.2;39.2;36.6;34.8;29.7;28.8;26.6;24.4;22.5;22.0
metal_05,metal,51.1;99.6;4403.5;150.7;199.2;218.0;707.9;2207.2;2659.4;6769.5,42.7;38.0;35.1;33.8;27.3;21.8;19.8;18.8;18.3;16.8
metal_06,metal,51.1;99.6;4417.0;150.7;164.2;196.5;247.6;293.4;220.7;495.3,39.9;35.0;30.7;30.3;29.7;28.8;27.9;24.0;23.8;19.2
metal_07,metal,51.1;99.6;4417.0;4403.5;150.7;465.7;199.2;931.3;697.1;175.0,42.4;37.4;33.8;33.6;32.8;27.7;27.3;25.9;25.2;24.5
metal_08,metal,51.1;99.6;83.4;126.5;4403.5;150.7;199.2;166.9;995.9;796.7,40.3;35.7;34.3;32.0;31.9;31.2;27.0;25.7;24.7;24.7
pop_01,pop,51.1;99.6;4400.8;35.0;150.7;347.2;393.0;199.2;115.7;293.4,42.7;38.4;34.8;34.5;33.0;28.0;27.6;27.4;26.6;26.3
pop_02,pop,51.1;99.6;4403.5;150.7;261.1;86.1;347.2;199.2;129.2;390.3,45.9;40.3;36.4;35.5;32.3;31.2;30.6;29.9;28.8;28.4
pop_03,pop,51.1;99.6;4403.5;4417.0;150.7;199.2;893.6;234.2;446.8;586.8,45.0;40.0;36.9;36.1;35.9;30.2;29.2;26.6;23.2;22.0
pop_04,pop,51.1;99.6;4417.0;150.7;196.5;88.8;393.0;131.9;263.8;293.4,42.1;37.3;35.0;32.8;30.4;28.1;25.0;23.1;23.0;22.8
pop_05,pop,51.1;99.6;4400.8;150.7;199.2;1173.6;888.2;662.1;220.7;247.6,44.2;39.2;36.1;34.6;30.5;27.2;25.6;25.1;24.6;24.5
pop_06,pop,51.1;99.6;4417.0;150.7;199.2;371.4;185.7;279.9;247.6;123.8,41.0;35.9;32.4;31.2;25.1;23.4;22.8;22.0;21.8;19.3
pop_07,pop,51.1;99.6;4417.0;150.7;196.5;64.6;131.9;86.1;175.0;261.1,42.1;37.2;33.1;32.8;30.1;28.2;27.8;26.3;25.9;23.6
pop_08,pop,51.1;99.6;1109.0;4417.0;150.7;882.9;589.5;554.5;293.4;199.2,40.2;35.2;32.1;30.9;29.8;27.2;25.4;24.9;24.4;24.3
