file_id,genre,source_file,fs,duration_s,samples,target_snr_db,achieved_snr_db,clean_path,noisy_path,clipped
jazz_01,jazz,jazz.00001.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_01.wav,noisy/jazz_01.wav,False
jazz_02,jazz,jazz.00002.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_02.wav,noisy/jazz_02.wav,False
jazz_03,jazz,jazz.00003.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_03.wav,noisy/jazz_03.wav,False
jazz_04,jazz,jazz.00004.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_04.wav,noisy/jazz_04.wav,True
jazz_05,jazz,jazz.00006.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_05.wav,noisy/jazz_05.wav,False
jazz_06,jazz,jazz.00008.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_06.wav,noisy/jazz_06.wav,False
jazz_07,jazz,jazz.00009.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_07.wav,noisy/jazz_07.wav,True
jazz_08,jazz,jazz.00010.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_08.wav,noisy/jazz_08.wav,False
jazz_09,jazz,jazz.00011.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_09.wav,noisy/jazz_09.wav,False
jazz_10,jazz,jazz.00013.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_10.wav,noisy/jazz_10.wav,False
jazz_11,jazz,jazz.00014.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_11.wav,noisy/jazz_11.wav,False
jazz_12,jazz,jazz.00015.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_12.wav,noisy/jazz_12.wav,False
jazz_13,jazz,jazz.00016.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_13.wav,noisy/jazz_13.wav,True
jazz_14,jazz,jazz.00018.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_14.wav,noisy/jazz_14.wav,False
jazz_15,jazz,jazz.00019.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_15.wav,noisy/jazz_15.wav,True
jazz_16,jazz,jazz.00020.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_16.wav,noisy/jazz_16.wav,False
jazz_17,jazz,jazz.00021.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_17.wav,noisy/jazz_17.wav,False
jazz_18,jazz,jazz.00022.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_18.wav,noisy/jazz_18.wav,True
jazz_19,jazz,jazz.00023.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_19.wav,noisy/jazz_19.wav,False
jazz_20,jazz,jazz.00024.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_20.wav,noisy/jazz_20.wav,False
jazz_21,jazz,jazz.00025.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_21.wav,noisy/jazz_21.wav,False
jazz_22,jazz,jazz.00026.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_22.wav,noisy/jazz_22.wav,True
jazz_23,jazz,jazz.00027.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_23.wav,noisy/jazz_23.wav,True
jazz_24,jazz,jazz.00028.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_24.wav,noisy/jazz_24.wav,False
jazz_25,jazz,jazz.00029.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_25.wav,noisy/jazz_25.wav,False
jazz_26,jazz,jazz.00030.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_26.wav,noisy/jazz_26.wav,True
jazz_27,jazz,jazz.00031.wav,22050,30.013,661794,-10.0,-10.0,clean/jazz_27.wav,noisy/jazz_27.wav,True
